epoch,train_loss,val_loss,val_mae,val_rmse,val_r2
1,1302.0718299881053,260.0454440857313,14.91845068576173,16.12592460261136,-0.7174420696059016
2,74.28447464007462,42.45973592367231,4.939945812551131,6.516113545825927,0.7195792580517048
3,38.67776657757309,48.60061841573774,5.594123900306891,6.971414366279754,0.6790224622173067
4,27.35922331889843,36.68126887860505,4.58878397127116,6.056506320433686,0.7577425192273719
5,20.366711784542925,62.037988073337154,5.944102257675266,7.876419743724106,0.5902768042690734
6,15.790962087908449,39.95914169572155,4.862656980567837,6.3213243494242075,0.7360941626274671
7,11.994795308940297,36.78957117270239,4.634601807742385,6.065440728098841,0.7570272476060456
8,9.308614710865609,39.96658068710232,4.97122561709481,6.321912747518553,0.7360450308600919
9,6.004114353073897,34.36512981142317,4.541081471472793,5.86217789182597,0.7730392104169942
10,3.5734136178041576,34.21197823708102,4.46456471733425,5.849100626966949,0.7740506829095558
11,2.7374122698276695,32.91908701014074,4.367315961707453,5.737515750316327,0.7825894430266579
12,2.482496573808444,36.799290577076974,4.736648767631246,6.066241887730662,0.7569630567828218
13,2.3281727939025716,33.3389863345934,4.4163833123556575,5.773992235316868,0.7798162631008767
14,2.304797979049529,35.70359174064968,4.611271352501389,5.975248255889454,0.7641994820453462
15,2.2403324929803947,33.69994406670517,4.445018845315305,5.8051652835799805,0.7774323573515548
