epoch,train_loss,val_loss,val_mae,val_rmse,val_r2
1,249.14522969424127,68.95428109613265,6.50993475632638,8.303871435547142,0.544598894704121
2,62.0733984886522,52.41026458977172,5.447309399983897,7.239493370677822,0.6538620664077579
3,42.07446825930678,70.9243884530867,6.754039978388674,8.421661878544574,0.5315875291980631
4,30.761716242468925,59.715237339090855,5.948420219539855,7.727563475926625,0.6056171606003466
5,25.43906690689516,67.09151356264671,6.4900548717249995,8.190940943808366,0.5569013401075409
6,22.337842118045426,52.59060242161247,5.481780623797304,7.251937826360579,0.6526710437272456
7,15.254916978441303,58.247341825354916,5.935263155410008,7.631994637791876,0.6153117155087386
8,13.029408038676543,46.53188258520564,5.174647307544021,6.821428201898479,0.6926852028926388
9,12.56669944428152,45.28393391496647,5.1588483974800345,6.729333829093747,0.7009271469090981
10,11.10907516517818,49.69106928310039,5.4602155485508606,7.049189258541558,0.6718206967025302
11,10.604804837456184,48.19624285964492,5.394616193652894,6.94235140704081,0.6816931146304516
12,10.15303263654664,53.7674594873227,5.533043958385538,7.332629774712312,0.6448986175314506
13,9.43895468925839,44.89696320835848,5.128974261491195,6.7005196299450045,0.7034828516256677
14,9.672133676716728,46.2160643701968,5.26138730967267,6.798239828842451,0.6947709884116434
15,9.304913872899581,44.59910831392182,5.137726476473838,6.678256383776165,0.7054500027183237
